date,package,chroot,build_time,state,build_id,timestamp
2024/03/24,llvm,fedora-40-ppc64le,220,failed,7207249,1711322007
2024/03/24,llvm,fedora-40-i386,75,failed,7207248,1711322007
2024/03/24,llvm,fedora-40-aarch64,131,failed,7207247,1711322007
2024/03/24,llvm,fedora-39-x86_64,331,failed,7207246,1711322007
2024/03/24,llvm,fedora-39-s390x,385,failed,7207245,1711322007
2024/03/24,llvm,fedora-39-ppc64le,301,failed,7207244,1711322007
2024/03/24,llvm,fedora-39-i386,110,failed,7207243,1711322007
2024/03/24,llvm,fedora-39-aarch64,156,failed,7207242,1711322007
2024/03/24,llvm,fedora-38-x86_64,243,failed,7207241,1711322007
2024/03/24,llvm,fedora-38-s390x,476,failed,7207240,1711322007
2024/03/24,llvm,fedora-38-ppc64le,298,failed,7207239,1711322007
2024/03/24,llvm,fedora-38-i386,104,failed,7207238,1711322007
2024/03/24,llvm,fedora-38-aarch64,144,failed,7207237,1711322007
2024/03/25,llvm,rhel-9-x86_64,236,failed,7210525,1711408420
2024/03/25,llvm,rhel-9-s390x,184,failed,7210524,1711408420
2024/03/25,llvm,rhel-9-aarch64,140,failed,7210523,1711408420
2024/03/25,llvm,fedora-rawhide-x86_64,175,failed,7210522,1711408420
2024/03/25,llvm,fedora-rawhide-s390x,127,failed,7210521,1711408420
2024/03/25,llvm,fedora-rawhide-ppc64le,180,failed,7210520,1711408420
2024/03/25,llvm,fedora-rawhide-i386,105,failed,7210519,1711408420
2024/03/25,llvm,fedora-rawhide-aarch64,90,failed,7210518,1711408420
2024/03/25,llvm,fedora-40-x86_64,200,failed,7210517,1711408420
2024/03/25,llvm,fedora-40-s390x,198,failed,7210516,1711408420
2024/03/25,llvm,fedora-40-ppc64le,206,failed,7210515,1711408420
2024/03/25,llvm,fedora-40-i386,76,failed,7210514,1711408420
2024/03/25,llvm,fedora-40-aarch64,88,failed,7210513,1711408420
2024/03/25,llvm,fedora-39-x86_64,243,failed,7210512,1711408420
2024/03/25,llvm,fedora-39-s390x,304,failed,7210510,1711408420
2024/03/25,llvm,fedora-39-ppc64le,291,failed,7210509,1711408420
2024/03/25,llvm,fedora-39-i386,107,failed,7210508,1711408420
2024/03/25,llvm,fedora-39-aarch64,147,failed,7210507,1711408420
2024/03/25,llvm,fedora-38-x86_64,247,failed,7210506,1711408420
2024/03/25,llvm,fedora-38-s390x,273,failed,7210505,1711408420
2024/03/25,llvm,fedora-38-ppc64le,302,failed,7210504,1711408420
2024/03/25,llvm,fedora-38-i386,142,failed,7210503,1711408420
2024/03/25,llvm,fedora-38-aarch64,146,failed,7210502,1711408420
2024/03/26,llvm,rhel-9-x86_64,293,failed,7214784,1711494809
2024/03/26,llvm,rhel-9-s390x,157,failed,7214783,1711494809
2024/03/26,llvm,rhel-9-aarch64,164,failed,7214782,1711494809
2024/03/26,llvm,fedora-rawhide-x86_64,254,failed,7214781,1711494809
2024/03/26,llvm,fedora-rawhide-s390x,168,failed,7214780,1711494809
2024/03/26,llvm,fedora-rawhide-ppc64le,280,failed,7214779,1711494809
2024/03/26,llvm,fedora-rawhide-i386,144,failed,7214778,1711494809
2024/03/26,llvm,fedora-rawhide-aarch64,81,failed,7214777,1711494809
2024/03/26,llvm,fedora-40-x86_64,203,failed,7214776,1711494809
2024/03/26,llvm,fedora-40-s390x,167,failed,7214775,1711494809
2024/03/26,llvm,fedora-40-ppc64le,221,failed,7214774,1711494809
2024/03/26,llvm,fedora-40-i386,142,failed,7214772,1711494809
2024/03/26,llvm,fedora-40-aarch64,85,failed,7214771,1711494809
2024/03/26,llvm,fedora-39-x86_64,248,failed,7214770,1711494809
2024/03/26,llvm,fedora-39-s390x,234,failed,7214769,1711494809
2024/03/26,llvm,fedora-39-ppc64le,257,failed,7214768,1711494809
2024/03/26,llvm,fedora-39-i386,161,failed,7214767,1711494809
